drug_id,drug_name,approval_authority
445,Drug_186,EMA
286,Drug_185,EMA
21,Drug_87,EMA
187,Drug_377,EMA
268,Drug_287,FDA
439,Drug_378,FDA
378,Drug_430,FDA
248,Drug_471,FDA
373,Drug_416,FDA
120,Drug_286,EMA
329,Drug_290,FDA
296,Drug_386,EMA
279,Drug_219,EMA
325,Drug_63,FDA
266,Drug_323,FDA
174,Drug_368,FDA
329,Drug_141,FDA
189,Drug_311,EMA
357,Drug_156,FDA
327,Drug_240,EMA
169,Drug_456,EMA
263,Drug_312,FDA
205,Drug_96,FDA
140,Drug_294,EMA
293,Drug_175,FDA
89,Drug_324,FDA
177,Drug_357,EMA
393,Drug_151,EMA
361,Drug_494,EMA
325,Drug_483,FDA
108,Drug_198,EMA
397,Drug_302,EMA
374,Drug_374,FDA
126,Drug_270,EMA
271,Drug_160,EMA
350,Drug_492,FDA
265,Drug_98,FDA
293,Drug_117,FDA
115,Drug_196,FDA
65,Drug_345,EMA
272,Drug_25,FDA
3,Drug_231,FDA
178,Drug_35,EMA
51,Drug_1,EMA
318,Drug_51,FDA
180,Drug_387,FDA
310,Drug_160,EMA
462,Drug_160,FDA
257,Drug_1,FDA
141,Drug_332,EMA
136,Drug_133,EMA
218,Drug_210,EMA
274,Drug_121,FDA
16,Drug_113,EMA
16,Drug_373,FDA
95,Drug_26,EMA
367,Drug_119,FDA
253,Drug_170,EMA
60,Drug_13,FDA
183,Drug_175,EMA
480,Drug_386,EMA
477,Drug_174,EMA
432,Drug_35,EMA
384,Drug_416,FDA
262,Drug_231,EMA
3,Drug_97,EMA
383,Drug_391,FDA
119,Drug_423,EMA
461,Drug_460,EMA
345,Drug_146,FDA
231,Drug_100,FDA
489,Drug_252,EMA
182,Drug_211,EMA
301,Drug_17,EMA
102,Drug_3,FDA
452,Drug_277,FDA
64,Drug_92,EMA
177,Drug_53,FDA
237,Drug_371,EMA
100,Drug_271,EMA
71,Drug_115,EMA
63,Drug_332,EMA
18,Drug_354,FDA
478,Drug_328,FDA
72,Drug_191,FDA
454,Drug_444,EMA
18,Drug_283,FDA
77,Drug_322,EMA
224,Drug_488,EMA
456,Drug_332,FDA
129,Drug_271,EMA
414,Drug_419,EMA
343,Drug_365,EMA
45,Drug_338,FDA
245,Drug_141,EMA
79,Drug_89,EMA
434,Drug_455,FDA
217,Drug_104,FDA
37,Drug_165,FDA
18,Drug_79,EMA
207,Drug_112,EMA
413,Drug_461,FDA
410,Drug_2,EMA
170,Drug_438,FDA
47,Drug_40,FDA
120,Drug_66,EMA
136,Drug_460,FDA
420,Drug_401,FDA
212,Drug_274,EMA
238,Drug_453,FDA
127,Drug_283,FDA
322,Drug_487,EMA
52,Drug_51,FDA
110,Drug_86,EMA
125,Drug_116,FDA
357,Drug_451,EMA
183,Drug_371,FDA
390,Drug_334,EMA
166,Drug_260,EMA
474,Drug_298,EMA
322,Drug_351,EMA
384,Drug_50,EMA
277,Drug_165,EMA
253,Drug_284,EMA
273,Drug_172,EMA
408,Drug_421,FDA
18,Drug_149,EMA
