trial_id,outcome,adverse_effect,cost_usd
3166,Ongoing,Severe,5773.43
5120,Ongoing,None,6388.33
8265,Success,Mild,23783.88
2510,Failure,Severe,36783.06
13124,Success,Severe,42512.17
3578,Failure,None,39182.34
2922,Success,Mild,15798.25
2291,Failure,Mild,7489.44
844,Failure,None,16262.8
4230,Ongoing,None,40845.54
11641,Failure,Severe,42336.61
1877,Failure,None,45688.81
13571,Success,Mild,49202.8
9759,Success,None,39458.93
10754,Failure,Severe,22096.41
6470,Success,Severe,8415.3
4972,Ongoing,Mild,3691.3
13811,Success,Mild,9368.43
14608,Ongoing,Mild,24331.17
1447,Ongoing,Severe,10225.4
8860,Ongoing,Severe,14045.28
13036,Ongoing,Mild,5634.6
2322,Failure,Severe,24146.96
7368,Ongoing,Severe,19014.9
2325,Ongoing,Severe,23328.86
11890,Failure,Mild,44087.46
4283,Ongoing,Severe,25660.93
7623,Success,Severe,36320.78
13186,Failure,Severe,38668.3
10065,Ongoing,Severe,31586.21
13139,Success,Mild,14123.25
11415,Ongoing,None,31854.29
9977,Failure,Severe,43455.74
8376,Success,Mild,21716.22
14803,Failure,Severe,32798.77
4416,Success,Severe,22844.88
10816,Success,None,7965.94
4086,Ongoing,Mild,32639.86
8473,Failure,Severe,44731.23
2508,Success,Severe,43609.25
12607,Ongoing,Mild,37485.44
2995,Success,Mild,30527.59
12356,Success,None,41512.27
8041,Failure,None,35573.32
10510,Success,None,29086.43
2491,Failure,Severe,42971.61
8197,Ongoing,Mild,8747.73
7205,Ongoing,None,7224.96
4551,Failure,Mild,11417.38
10972,Failure,None,40370.45
869,Ongoing,Mild,36448.37
13999,Success,Mild,45291.92
8490,Success,Severe,11253.46
4267,Success,None,47286.37
14666,Ongoing,None,12954.37
1989,Success,Severe,1638.36
2141,Failure,Severe,40235.59
5086,Success,Mild,6544.48
3974,Success,None,13492.26
1807,Success,Severe,36309.38
6856,Failure,Severe,12375.01
5123,Failure,Mild,5240.1
9555,Failure,Severe,27994.62
9943,Failure,Severe,13132.35
14561,Failure,None,23706.27
5805,Ongoing,Severe,6180.8
7190,Success,Mild,26180.37
5401,Failure,None,10090.43
4814,Success,Severe,21400.71
6354,Success,Severe,10799.58
2118,Success,Mild,48106.64
1518,Failure,Severe,41569.43
296,Failure,None,9378.28
3284,Ongoing,Mild,5876.82
11719,Success,None,15483.46
7440,Ongoing,None,9012.23
8140,Failure,None,3486.88
13210,Success,Mild,38479.93
9042,Ongoing,Mild,43107.64
7616,Ongoing,Severe,34765.11
12009,Failure,Severe,36103.8
8529,Ongoing,None,27018.59
6597,Failure,Mild,22080.05
10777,Success,Mild,11548.09
7802,Ongoing,Mild,38981.87
8853,Success,Mild,25076.72
12826,Failure,Mild,2230.86
799,Ongoing,Mild,44601.83
8888,Success,Severe,38252.76
11195,Failure,Mild,22127.89
13086,Failure,Mild,46778.59
11980,Failure,Mild,49649.58
13741,Failure,None,26556.75
7969,Success,Severe,20609.24
9608,Ongoing,Mild,4932.72
2451,Success,None,42744.06
76,Success,None,44637.35
9075,Ongoing,Severe,11320.24
11926,Failure,None,42175.37
3018,Ongoing,None,2181.52
2464,Failure,Severe,3521.35
8305,Success,None,10184.99
8434,Success,Severe,13352.2
11683,Ongoing,Severe,12278.39
4518,Success,None,24074.78
2052,Ongoing,None,7660.04
939,Failure,Severe,29429.03
4140,Failure,None,4411.8
9601,Ongoing,None,10868.9
4977,Ongoing,Severe,48949.27
9893,Ongoing,Severe,49860.87
6269,Ongoing,None,28987.46
8347,Success,Mild,40398.54
5895,Ongoing,None,33605.22
6828,Success,None,27722.81
11677,Success,None,5919.14
6316,Failure,Severe,44207.34
4260,Failure,Severe,13591.68
1974,Success,None,32475.92
11659,Ongoing,Severe,20094.75
12730,Ongoing,Mild,23045.61
3578,Failure,None,1177.74
5429,Success,Mild,46944.31
8642,Ongoing,Mild,37505.59
12464,Ongoing,Severe,1695.04
5177,Failure,None,33463.7
10327,Success,None,46193.73
9693,Success,None,3648.17
8649,Ongoing,Mild,15707.19
8066,Success,Mild,32697.38
9356,Failure,None,16683.54
3344,Failure,Mild,12140.92
9502,Ongoing,None,21350.15
5015,Ongoing,Severe,49200.72
13294,Failure,Severe,23345.8
5169,Ongoing,None,26497.83
6772,Failure,Mild,39508.28
14866,Ongoing,None,3404.93
130,Ongoing,None,44695.48
7560,Success,Mild,49947.25
1658,Success,None,44995.05
5804,Success,None,13143.48
14361,Success,Mild,20419.28
10279,Failure,Severe,33492.49
1758,Ongoing,Mild,14471.54
12669,Success,Severe,45253.16
4724,Ongoing,None,5085.59
14510,Ongoing,Mild,28677.52
9996,Success,Mild,27448.46
13934,Success,Severe,24361.38
13889,Success,Mild,1469.99
5101,Failure,Mild,8482.41
10840,Failure,None,19371.66
14231,Failure,Mild,17809.42
4972,Success,Mild,10787.84
3801,Ongoing,Mild,35984.72
14752,Failure,Mild,30297.65
13288,Success,Mild,28284.08
14532,Ongoing,Mild,1708.98
10293,Success,Severe,14439.45
12874,Success,Mild,32618.37
13142,Success,Severe,46039.9
2148,Success,Mild,46174.67
6979,Failure,Severe,25872.88
726,Ongoing,Severe,23385.58
2035,Failure,Severe,48549.42
14037,Success,None,26042.51
14939,Success,None,5589.13
3166,Ongoing,Severe,24288.19
11320,Success,Severe,48146.26
4183,Failure,Severe,16768.49
348,Failure,Mild,32123.02
5546,Success,None,38268.41
9064,Failure,Mild,14073.37
7417,Failure,Severe,40483.12
7600,Success,Severe,14478.1
13389,Ongoing,Severe,3572.51
6652,Success,Mild,1211.52
5533,Failure,Severe,40988.94
345,Failure,Severe,20438.84
11884,Success,Mild,38042.8
639,Ongoing,Severe,32842.29
11907,Ongoing,None,34810.67
2339,Ongoing,Mild,42238.27
4441,Failure,Mild,13494.96
14114,Ongoing,Mild,47669.83
13686,Ongoing,Severe,23558.76
185,Ongoing,None,35680.66
4408,Success,Severe,28356.22
11603,Failure,Severe,15216.73
8806,Failure,None,27867.36
4170,Failure,Severe,39923.07
2750,Ongoing,Severe,3196.64
14707,Success,None,31352.85
6989,Success,None,27584.05
10927,Failure,None,41776.18
524,Ongoing,None,31690.56
9397,Failure,None,11796.36
14489,Ongoing,Severe,36579.75
12488,Success,Mild,18317.1
7021,Failure,Mild,22902.5
8529,Ongoing,Severe,42711.46
14470,Success,None,23729.08
1114,Success,Severe,32678.39
8883,Failure,Mild,39427.2
7943,Success,Severe,25595.57
5486,Ongoing,Severe,46335.47
4721,Failure,None,4722.51
13455,Failure,Mild,24285.47
11018,Ongoing,Mild,9875.53
2335,Failure,Severe,7218.71
771,Failure,Mild,48231.63
677,Ongoing,None,4364.85
3963,Success,Severe,5117.47
10461,Ongoing,None,20364.51
2241,Failure,Mild,28327.77
9802,Failure,Severe,28596.15
5864,Ongoing,Severe,1778.2
2103,Success,Severe,6155.93
10380,Success,Mild,31531.45
980,Failure,Severe,46059.98
6311,Failure,None,26257.26
3224,Ongoing,None,44193.95
12489,Ongoing,None,5494.28
1352,Failure,Mild,40199.38
246,Failure,None,35504.04
13065,Success,None,46231.35
5567,Failure,Mild,32799.48
11757,Success,Mild,21987.71
6775,Success,Severe,43333.83
8437,Ongoing,None,40413.31
13672,Ongoing,Mild,39584.78
12731,Ongoing,None,18090.82
7615,Ongoing,None,1184.87
12210,Ongoing,Severe,8685.99
513,Failure,Severe,27922.67
3765,Failure,Severe,19502.0
11795,Failure,None,13465.59
5079,Failure,Mild,21677.69
6745,Failure,Severe,8792.65
13694,Ongoing,Severe,15398.45
5187,Ongoing,Severe,43979.29
8183,Ongoing,Severe,38475.19
2605,Failure,Severe,17627.63
14100,Ongoing,Mild,26204.91
11722,Success,None,13362.24
1880,Success,Severe,12762.94
14901,Success,Mild,13060.51
13957,Ongoing,Mild,25854.08
2072,Failure,None,3432.79
6824,Ongoing,Mild,29555.92
6807,Failure,Mild,48392.11
3172,Failure,None,49609.15
12415,Failure,Mild,3623.42
5459,Success,Mild,20192.2
5244,Success,None,27240.77
4738,Failure,None,28407.77
14316,Success,Mild,9482.48
11123,Ongoing,Severe,35895.42
11484,Success,None,9782.5
4988,Failure,Mild,37604.38
419,Ongoing,Severe,25495.16
10545,Ongoing,None,41555.8
4302,Failure,None,24228.27
12725,Failure,None,22034.65
9754,Success,Severe,34062.84
5694,Success,Severe,46425.04
6820,Failure,Mild,42242.22
10748,Success,Severe,19259.52
4574,Failure,Mild,33519.16
8569,Ongoing,Mild,12148.45
9459,Ongoing,Severe,49639.22
14497,Success,None,43718.28
13472,Failure,None,23204.68
999,Success,None,30523.13
1699,Ongoing,Severe,28026.51
1288,Ongoing,Mild,1299.31
9826,Success,Severe,25931.15
9579,Failure,None,34684.91
2645,Failure,Severe,33186.14
2043,Ongoing,Severe,24023.6
12425,Success,Severe,36142.48
8529,Ongoing,Mild,49949.66
8203,Ongoing,Severe,16229.9
9098,Failure,Mild,40822.34
4168,Ongoing,Mild,8177.24
10220,Success,Severe,41179.0
936,Success,None,6733.34
11879,Failure,Mild,36169.58
10654,Failure,Severe,25571.95
14132,Ongoing,Severe,9909.22
9614,Success,None,4798.69
13440,Failure,Mild,29813.83
7659,Ongoing,None,17688.61
13749,Success,None,44454.57
10638,Failure,Mild,20677.07
7218,Success,Severe,20574.72
36,Failure,None,23488.15
411,Failure,None,6424.81
4745,Ongoing,None,25497.71
4273,Success,None,42913.41
1695,Failure,None,42325.78
8524,Success,None,40684.51
1355,Success,None,31029.07
5037,Failure,None,22865.93
479,Failure,Severe,11902.24
8379,Ongoing,Mild,39545.49
7339,Failure,Mild,14056.11
1263,Failure,None,17954.77
1518,Failure,Mild,39139.0
8201,Success,Mild,30455.82
6715,Ongoing,Mild,35432.11
13594,Success,Severe,3340.3
6950,Success,None,42920.55
13927,Ongoing,None,23019.07
5920,Success,None,27408.77
6441,Ongoing,Severe,13874.28
336,Success,Mild,2064.81
8514,Ongoing,Mild,45528.79
9483,Success,Mild,42491.84
4715,Failure,None,34483.98
6540,Ongoing,Mild,43153.86
7306,Ongoing,Severe,6512.83
442,Ongoing,Mild,47110.93
11460,Success,Mild,27344.13
10659,Failure,None,43165.14
4067,Success,Mild,13693.79
7877,Ongoing,Mild,3122.79
14190,Success,Severe,16990.8
11322,Success,Mild,44002.45
8344,Ongoing,Mild,46371.5
5720,Ongoing,None,18474.64
11357,Ongoing,Mild,26353.64
4387,Success,Severe,44661.1
11237,Failure,None,13275.14
13094,Success,Severe,25516.91
12169,Success,None,35740.89
4678,Success,None,24737.59
13674,Failure,Severe,33429.33
4984,Failure,Severe,27739.13
5640,Failure,Severe,27186.56
13787,Success,Mild,4448.67
8530,Failure,Mild,20253.07
9975,Success,Mild,34027.88
2980,Failure,Severe,43961.8
824,Success,Mild,17427.05
3901,Failure,Severe,34543.27
4935,Failure,Mild,47087.06
14883,Ongoing,Mild,14128.68
4544,Success,None,14509.16
13194,Failure,Severe,5772.66
14798,Ongoing,None,10407.7
11306,Success,Mild,17597.5
3411,Success,Mild,3158.59
12712,Success,Severe,17253.07
12279,Ongoing,Mild,38949.33
7441,Success,Mild,12702.71
3212,Ongoing,Mild,22141.69
7781,Ongoing,None,9629.49
13234,Failure,Severe,15638.07
6670,Success,None,27665.56
6351,Success,Severe,20615.4
8620,Success,None,38551.51
1806,Ongoing,Severe,27367.81
12833,Success,Mild,11210.84
1604,Ongoing,Severe,44241.85
10985,Failure,Severe,48219.52
4897,Failure,None,11191.69
962,Failure,Severe,34196.05
2846,Ongoing,Severe,44497.52
10022,Failure,Mild,7568.65
8640,Success,Severe,49968.36
8039,Failure,Severe,6852.7
6918,Ongoing,Severe,8021.47
3742,Success,None,10162.75
4690,Ongoing,Severe,38764.25
10550,Ongoing,Severe,40653.09
5541,Failure,Severe,7695.42
10308,Ongoing,Severe,5791.87
3729,Ongoing,None,27066.97
9342,Ongoing,Severe,6712.27
11981,Ongoing,Severe,38076.47
3495,Success,None,24653.93
4919,Ongoing,Mild,39327.34
8252,Failure,Severe,44550.85
2198,Failure,None,20716.66
7084,Failure,None,41204.96
9930,Success,Mild,48972.85
7672,Success,Severe,20712.0
12906,Success,Severe,49384.72
940,Ongoing,None,46076.02
10830,Failure,None,31601.35
8720,Failure,Mild,3363.6
59,Success,None,20923.2
14324,Failure,Mild,15547.11
309,Success,Severe,20622.67
3107,Failure,None,21092.49
10064,Ongoing,Severe,23248.86
2685,Failure,None,22055.38
10292,Failure,None,12819.14
12007,Success,Severe,34921.79
3992,Failure,None,21180.53
1325,Failure,Severe,28768.57
6917,Failure,None,38242.8
7915,Failure,Severe,45225.12
10592,Ongoing,Mild,35160.81
9662,Success,None,31802.59
8099,Ongoing,None,2183.66
5664,Ongoing,Mild,46967.36
12654,Failure,Mild,18902.14
10384,Failure,Mild,37194.56
4957,Failure,Mild,15257.55
8769,Failure,Mild,9952.22
11033,Ongoing,Mild,43024.91
4893,Success,Mild,23502.8
9025,Failure,None,43986.38
12465,Ongoing,None,18010.87
6342,Failure,Severe,42441.2
5479,Ongoing,Severe,41637.98
8617,Failure,None,7081.29
1131,Failure,None,44060.25
4735,Success,Mild,4431.01
2336,Success,Mild,46042.18
2682,Failure,Severe,29728.33
8200,Ongoing,None,9319.45
9061,Success,Severe,22539.4
11013,Failure,None,3240.64
7535,Failure,Severe,26248.35
453,Failure,Mild,31551.23
9424,Failure,Mild,33992.73
10401,Failure,Severe,20033.97
1233,Ongoing,Severe,39293.78
11351,Failure,Mild,38813.56
12579,Success,Severe,44236.65
5452,Ongoing,Mild,45886.6
10122,Ongoing,Mild,22348.03
5563,Ongoing,None,19373.82
14054,Failure,Mild,31519.75
11528,Success,Severe,5532.38
12769,Failure,None,13509.36
7398,Failure,None,1921.97
7355,Success,None,28226.32
173,Ongoing,None,38018.55
6368,Success,None,2301.45
7002,Success,None,41389.85
1768,Failure,None,14033.77
13662,Ongoing,None,36782.98
6143,Failure,Severe,6909.17
8682,Success,None,20331.18
7346,Failure,Mild,19719.13
839,Success,Severe,2373.43
444,Success,Mild,43563.05
1754,Failure,Severe,35120.83
10240,Success,Mild,23561.83
8093,Ongoing,Mild,30139.3
11571,Ongoing,Severe,7852.76
14406,Failure,Mild,15958.72
5985,Ongoing,Mild,1017.53
6014,Success,Mild,15294.07
5816,Ongoing,None,12419.86
7766,Success,None,29089.93
14312,Ongoing,Mild,29571.1
7347,Failure,Mild,28956.41
8506,Success,Mild,45730.2
9669,Success,Mild,35186.55
13054,Failure,Severe,38078.11
6183,Ongoing,Severe,17020.64
158,Failure,Mild,17757.27
479,Ongoing,Severe,38789.96
12310,Success,None,9260.02
11747,Success,Mild,49732.25
3477,Success,Severe,3734.68
10038,Ongoing,Severe,34396.2
13964,Failure,Mild,19442.27
1042,Failure,Severe,40825.6
13841,Failure,Mild,14258.4
6333,Success,None,10713.34
8915,Ongoing,Severe,4756.84
11781,Ongoing,None,37648.19
11166,Ongoing,Severe,39075.72
1564,Success,Mild,4138.17
11990,Failure,None,21353.81
9333,Success,Severe,2788.38
11728,Success,Severe,44521.81
10966,Failure,Severe,6506.42
10463,Success,None,28193.14
12085,Success,None,46929.55
5952,Ongoing,Mild,28447.56
7145,Success,Mild,22146.77
4863,Success,Severe,38583.52
9917,Success,Mild,28575.05
8538,Failure,None,27009.15
10689,Ongoing,Mild,30988.22
7688,Ongoing,None,43483.42
14176,Success,None,20416.45
2942,Ongoing,Mild,9664.77
13016,Success,None,2532.15
5006,Failure,None,12804.1
302,Success,Severe,49112.45
6038,Failure,None,11957.49
14246,Success,Mild,37358.44
8582,Success,None,13276.63
2702,Success,Severe,10129.06
4942,Ongoing,Severe,23766.53
10489,Failure,Severe,39989.44
508,Ongoing,None,24120.4
7957,Success,Mild,14534.26
6024,Ongoing,Mild,47089.8
8383,Failure,Mild,14131.39
11949,Ongoing,Mild,8447.49
1450,Failure,Mild,15838.63
11627,Success,None,5443.9
13155,Success,None,41264.89
12343,Ongoing,Severe,18089.56
12249,Success,Mild,39480.11
14519,Failure,Mild,31540.44
5990,Ongoing,None,27825.69
674,Success,Severe,7303.52
12564,Failure,Severe,16663.37
2239,Ongoing,Severe,29423.99
2764,Success,Mild,44529.38
1240,Success,Severe,25254.36
3712,Ongoing,Mild,25451.06
5545,Ongoing,None,49915.98
14871,Ongoing,Severe,42181.46
4534,Ongoing,Severe,37666.29
14691,Failure,None,1986.3
6935,Ongoing,Severe,18105.17
6232,Success,None,22713.65
1519,Success,Severe,3922.0
188,Success,None,24369.94
9682,Failure,Severe,35277.89
13882,Success,Severe,33957.24
8616,Ongoing,None,30669.36
12841,Success,None,16083.31
4516,Success,Mild,32394.71
4960,Failure,None,31439.54
2492,Failure,Severe,17924.51
11157,Ongoing,None,25925.1
37,Failure,Severe,2319.75
13569,Failure,Mild,35410.3
7561,Failure,Severe,22916.97
7931,Ongoing,Mild,9651.06
6330,Success,Mild,41901.57
5641,Success,None,7399.26
14364,Failure,None,16973.23
14132,Success,Severe,19122.76
3670,Failure,None,47878.73
11058,Success,None,34930.72
4433,Success,Mild,15045.38
10416,Ongoing,Mild,24206.51
10452,Failure,Mild,43085.47
2271,Failure,Severe,41772.09
3610,Success,None,25162.25
4028,Success,None,10476.22
10906,Ongoing,Severe,32918.68
9399,Success,None,36470.91
2641,Ongoing,Severe,11180.57
8175,Ongoing,Severe,32440.76
6705,Success,Mild,32997.99
14382,Success,Mild,32555.56
5829,Success,Severe,45781.76
433,Failure,Severe,12032.37
9991,Failure,Severe,8018.31
9043,Failure,Severe,12312.98
9451,Failure,None,11078.66
2037,Success,Severe,29659.94
5871,Ongoing,None,6912.84
3477,Ongoing,Severe,33520.68
12384,Success,Severe,26859.55
9548,Success,Severe,27124.65
5103,Success,Severe,24237.03
6275,Success,None,9940.18
8812,Success,None,10912.5
2775,Success,Mild,49620.21
9681,Failure,Severe,23314.42
14258,Ongoing,Mild,5033.89
4221,Failure,None,35174.89
1458,Ongoing,Mild,40301.35
8133,Failure,Severe,40923.45
597,Success,None,34052.42
12554,Failure,Severe,33416.3
13416,Success,Mild,45005.04
7217,Success,None,15395.06
6212,Success,Severe,31844.17
9632,Ongoing,Severe,48338.07
9249,Success,Mild,44684.37
4097,Success,Mild,13561.93
4340,Ongoing,None,8359.24
1920,Success,Mild,20023.5
2806,Ongoing,Mild,4254.8
5580,Success,Severe,26010.78
13746,Ongoing,None,46384.36
1361,Success,None,20448.78
8790,Success,None,5799.25
440,Failure,Severe,2696.71
7454,Ongoing,Severe,41051.05
3266,Ongoing,Mild,28759.66
1549,Ongoing,Mild,47585.62
11786,Failure,Mild,20939.85
2572,Failure,None,30934.45
14704,Failure,Mild,25972.1
5438,Ongoing,Severe,48018.97
7016,Failure,Mild,20122.49
5214,Success,Mild,39734.85
31,Failure,Severe,19970.62
11730,Ongoing,Mild,27476.31
1062,Failure,None,22028.66
11530,Failure,None,34516.17
14267,Failure,Severe,38951.61
978,Success,None,2973.69
11460,Failure,None,32119.13
3972,Failure,Mild,10869.71
2888,Ongoing,Severe,10071.05
11055,Failure,Mild,43777.69
14472,Success,Severe,3212.08
13460,Ongoing,Mild,41692.53
6300,Success,Severe,47890.39
2449,Ongoing,Mild,45217.21
58,Success,Severe,10229.73
14949,Failure,Mild,1860.5
6934,Failure,None,49136.82
7332,Ongoing,None,4884.2
2724,Success,None,39493.38
13560,Success,Severe,4751.94
6648,Ongoing,Mild,6477.93
7351,Failure,Severe,32648.88
7224,Failure,None,11304.69
4946,Ongoing,Mild,21292.03
381,Success,None,46873.84
3635,Success,Severe,35868.65
4458,Ongoing,Severe,4326.58
14658,Failure,Severe,32030.68
5291,Ongoing,None,2983.02
610,Ongoing,None,15509.86
6933,Failure,Mild,6437.66
14675,Success,Mild,10518.08
12148,Failure,Mild,12902.72
10411,Ongoing,Severe,16355.85
6265,Failure,None,42993.3
10030,Success,Mild,13777.31
9597,Failure,None,23136.94
5383,Ongoing,Mild,43875.01
10162,Failure,None,7302.9
14782,Success,None,19169.62
8872,Failure,Severe,26540.49
9144,Success,None,30957.27
6749,Ongoing,None,41062.87
2337,Ongoing,None,6174.58
4268,Failure,None,41249.18
11511,Failure,None,28686.09
11772,Failure,Mild,28835.32
1461,Ongoing,None,23039.81
7841,Ongoing,Severe,7044.2
9860,Success,None,16762.53
6193,Failure,Severe,44339.76
3116,Success,Severe,40239.24
6048,Success,None,35079.0
14465,Failure,None,24961.57
4190,Ongoing,Mild,32790.35
1900,Failure,Mild,1519.83
1971,Failure,Severe,33697.89
13360,Failure,Severe,32115.71
6278,Success,None,3571.78
5143,Success,None,39584.74
424,Failure,None,47775.99
6373,Failure,Mild,49916.99
13258,Ongoing,Mild,30724.12
1744,Failure,Severe,14160.72
10438,Failure,Mild,13414.68
6981,Success,Mild,39475.43
4705,Failure,Severe,41505.64
11145,Ongoing,Mild,2122.39
14715,Ongoing,Mild,17692.39
3851,Success,Severe,10398.04
10582,Success,Severe,46474.89
13510,Ongoing,None,49602.25
14485,Ongoing,Mild,42291.2
12397,Success,Mild,24873.83
7809,Ongoing,Severe,1240.87
11134,Failure,Mild,30580.35
1430,Success,Mild,8723.25
4620,Success,Mild,20980.66
7013,Ongoing,Mild,13278.78
6539,Success,Mild,49409.77
704,Ongoing,None,21530.87
2305,Ongoing,None,42548.72
8420,Success,Severe,8805.72
14894,Success,Severe,28812.34
10913,Success,Severe,3981.84
13695,Ongoing,None,4412.0
5642,Ongoing,None,5606.83
11455,Success,None,33484.25
10130,Ongoing,None,17272.13
8967,Success,None,29642.14
14389,Success,Mild,48246.92
938,Success,Mild,33828.6
4358,Ongoing,Severe,42153.04
12483,Failure,Severe,7372.14
14308,Ongoing,Severe,49997.11
10539,Failure,None,3928.21
7542,Ongoing,None,23957.74
8829,Ongoing,Mild,5418.46
9718,Failure,None,47513.02
9174,Success,Mild,30517.96
10599,Failure,Severe,2805.48
14047,Ongoing,Mild,13108.7
4735,Ongoing,None,31144.54
8764,Failure,Mild,29845.75
14194,Ongoing,Mild,44504.63
3840,Ongoing,None,49619.43
259,Failure,Mild,21465.68
369,Success,Severe,13414.06
12792,Success,None,9696.08
3556,Success,None,45782.36
14809,Success,Mild,34684.37
12856,Success,Severe,1438.73
13385,Failure,Mild,19304.04
349,Failure,Severe,44260.73
5008,Ongoing,None,45005.25
7149,Failure,Mild,13767.34
2519,Failure,Mild,34005.54
6826,Failure,Severe,15886.73
4176,Success,None,1518.06
2467,Failure,Severe,43275.77
12495,Failure,None,21426.17
12439,Success,Severe,34578.28
6768,Ongoing,None,21201.11
4315,Failure,None,12612.98
9310,Failure,Severe,20097.4
3287,Ongoing,Mild,44846.79
14902,Failure,None,48147.38
9011,Ongoing,None,47611.23
9761,Success,Mild,27461.14
11706,Ongoing,Mild,32036.39
1928,Success,Severe,40881.79
11563,Ongoing,Mild,22694.72
11723,Failure,None,27209.53
7764,Ongoing,Mild,5494.87
13100,Ongoing,Severe,27215.04
9265,Failure,Mild,18928.54
8926,Ongoing,Severe,20740.85
1887,Ongoing,Mild,2340.75
1742,Ongoing,Mild,16608.91
11734,Failure,None,35383.49
4818,Failure,Severe,37078.72
7033,Ongoing,Mild,39498.42
10381,Success,Severe,5878.97
12635,Success,Severe,43477.84
8506,Ongoing,Mild,3229.44
14391,Failure,None,41521.5
671,Failure,None,37854.3
10064,Failure,None,25563.01
14696,Ongoing,Severe,22726.28
6135,Failure,Mild,32768.9
13151,Failure,Mild,30255.28
1567,Success,None,6710.94
11905,Failure,None,13141.31
1399,Success,Mild,10069.73
9712,Failure,None,44421.73
11180,Failure,None,39459.75
3827,Success,Severe,4575.21
4655,Success,None,43646.91
2844,Ongoing,None,30276.17
9151,Failure,Severe,16562.21
5723,Success,None,16559.66
10186,Failure,Mild,14907.11
921,Success,Mild,13253.54
143,Failure,None,24738.69
13737,Success,None,35055.64
5083,Success,None,46775.78
5437,Ongoing,Mild,45683.19
14943,Failure,Severe,28054.49
13920,Failure,Severe,48739.01
13549,Ongoing,Severe,8502.01
7768,Success,Mild,21834.57
3323,Failure,Mild,29062.82
2937,Ongoing,Mild,31010.4
5565,Ongoing,None,4328.37
5783,Ongoing,Mild,28432.08
5243,Ongoing,Severe,48584.71
5838,Failure,None,39660.96
14960,Ongoing,Severe,1581.76
13496,Ongoing,Mild,15003.89
690,Failure,None,25321.05
6530,Success,Mild,5813.07
10696,Success,Mild,23399.48
8222,Ongoing,None,23348.3
6343,Ongoing,None,9933.01
10107,Success,None,17813.73
7259,Success,None,16443.89
10640,Success,Severe,42443.34
3353,Ongoing,None,49236.72
7437,Success,Mild,29365.46
3735,Success,Severe,30469.32
6089,Success,Mild,46175.95
7035,Success,None,23815.05
3488,Ongoing,None,14167.68
8313,Success,Severe,48417.61
2510,Failure,None,28192.36
10462,Failure,Severe,10428.29
9735,Failure,None,16349.6
11154,Failure,Severe,47043.14
2394,Success,None,49884.62
1885,Failure,Mild,19800.55
5809,Failure,None,2566.99
10741,Ongoing,Mild,11062.58
12990,Success,Severe,20015.97
2782,Failure,None,42473.89
5485,Failure,Mild,6010.55
13477,Failure,None,35541.2
4184,Success,Mild,30850.38
11628,Failure,None,47120.04
6123,Failure,Severe,48786.16
1677,Ongoing,None,16874.52
10258,Ongoing,Mild,26332.73
12728,Failure,None,1225.26
10281,Success,Mild,1886.0
83,Success,Mild,16937.68
2141,Ongoing,Mild,43112.21
10034,Failure,Severe,4614.13
4855,Failure,None,31971.94
14948,Success,None,32751.37
6692,Success,Severe,46335.55
6824,Success,Severe,33896.27
3485,Ongoing,Mild,37940.36
6388,Ongoing,None,7563.19
13497,Success,Mild,30190.57
14956,Ongoing,None,12324.69
4915,Success,Mild,35447.18
7081,Ongoing,Mild,39491.17
14812,Failure,None,27231.46
9218,Failure,None,5828.54
13033,Ongoing,Severe,5515.99
9884,Success,Mild,11985.76
6614,Failure,Severe,12956.28
9524,Ongoing,Mild,7249.0
7189,Failure,Severe,12195.83
725,Failure,None,11775.82
11029,Success,Mild,8876.57
12365,Failure,None,40437.53
12681,Success,Mild,16091.22
14126,Ongoing,Severe,22812.56
9061,Success,Mild,14620.42
10659,Success,Mild,20808.81
9610,Failure,Severe,49813.55
9131,Failure,None,35584.86
12563,Failure,None,9662.86
13726,Ongoing,Severe,45035.63
6662,Success,None,40479.3
14747,Ongoing,None,48528.02
13280,Failure,None,34698.67
8977,Success,None,28488.61
4836,Success,Severe,1518.91
3036,Success,Mild,33708.94
2871,Failure,None,31227.81
10426,Success,Severe,20273.68
876,Ongoing,Mild,27113.04
4600,Success,Mild,4815.57
2804,Failure,None,2005.34
14647,Failure,Severe,47994.62
1501,Failure,Mild,11288.33
12840,Failure,None,3270.24
13289,Success,None,31198.86
12892,Failure,None,41842.53
13093,Failure,Mild,3930.2
157,Failure,None,33765.57
997,Success,None,3118.52
