trial_id,study_id,study_phase
1,192,Phase 2
2,35,Phase 3
3,10,Phase 1
4,61,Phase 3
5,109,Phase 1
6,170,Phase 1
7,174,Phase 2
8,96,Phase 3
9,2,Phase 3
10,122,Phase 3
11,73,Phase 3
12,65,Phase 2
13,161,Phase 2
14,126,Phase 2
15,88,Phase 2
16,18,Phase 1
17,147,Phase 3
18,120,Phase 2
19,73,Phase 3
20,136,Phase 1
21,92,Phase 2
22,3,Phase 1
23,103,Phase 1
24,17,Phase 3
25,57,Phase 3
26,169,Phase 2
27,39,Phase 2
28,92,Phase 1
29,74,Phase 3
30,42,Phase 2
31,105,Phase 2
32,152,Phase 2
33,41,Phase 1
34,116,Phase 2
35,169,Phase 3
36,147,Phase 1
37,140,Phase 2
38,165,Phase 1
39,32,Phase 2
40,111,Phase 3
41,171,Phase 1
42,156,Phase 1
43,134,Phase 1
44,110,Phase 2
45,15,Phase 3
46,5,Phase 3
47,184,Phase 3
48,189,Phase 1
49,139,Phase 2
50,147,Phase 3
51,193,Phase 1
52,162,Phase 1
53,38,Phase 1
54,29,Phase 1
55,63,Phase 2
56,114,Phase 2
57,199,Phase 1
58,183,Phase 1
59,193,Phase 3
60,43,Phase 2
61,145,Phase 2
62,148,Phase 2
63,94,Phase 1
64,117,Phase 1
65,185,Phase 3
66,200,Phase 3
67,50,Phase 1
68,174,Phase 1
69,147,Phase 1
70,158,Phase 2
71,127,Phase 3
72,14,Phase 2
73,21,Phase 3
74,172,Phase 1
75,182,Phase 1
76,50,Phase 1
77,59,Phase 2
78,50,Phase 2
79,115,Phase 1
80,117,Phase 1
81,99,Phase 2
82,42,Phase 3
83,146,Phase 3
84,99,Phase 3
85,187,Phase 1
86,159,Phase 3
87,138,Phase 1
88,15,Phase 3
89,113,Phase 2
90,100,Phase 2
91,12,Phase 3
92,9,Phase 1
93,83,Phase 1
94,171,Phase 2
95,137,Phase 2
96,170,Phase 1
97,70,Phase 2
98,94,Phase 1
99,177,Phase 3
100,89,Phase 2
101,28,Phase 3
102,169,Phase 3
103,3,Phase 1
104,145,Phase 3
105,160,Phase 2
106,16,Phase 3
107,156,Phase 1
108,42,Phase 1
109,178,Phase 2
110,172,Phase 3
111,60,Phase 1
112,155,Phase 1
113,146,Phase 2
114,81,Phase 3
115,172,Phase 3
116,19,Phase 1
117,37,Phase 2
118,5,Phase 3
119,22,Phase 3
120,180,Phase 2
121,105,Phase 3
122,8,Phase 3
123,121,Phase 1
124,94,Phase 2
125,64,Phase 2
126,29,Phase 1
127,43,Phase 3
128,3,Phase 2
129,170,Phase 1
130,28,Phase 3
131,159,Phase 1
132,145,Phase 3
133,87,Phase 2
134,18,Phase 3
135,21,Phase 3
136,170,Phase 2
137,191,Phase 3
